Key,分類,ID,名稱,單位,備註,Tooltip文字
週期-日-MaxRunUp,週期-日,MaxRunUp,最大區間獲利,%,不支援時間加權,列出回測中每一段獲利(淨利>0)區間的累加淨利變化，取最大值
週期-日-MaxRunUp_Amount,週期-日,MaxRunUp_Amount,最大區間獲利,$,不支援時間加權,列出回測中每一段獲利(淨利>0)區間的累加淨利變化，取最大值
週期-日-MaxDrawdown,週期-日,MaxDrawdown,最大區間虧損,%,不支援時間加權,列出回測中每一段虧損(淨利<0)區間的累加淨利變化，取最小值
週期-日-MaxDrawdown_Amount,週期-日,MaxDrawdown_Amount,最大區間虧損,$,不支援時間加權,列出回測中每一段虧損(淨利<0)區間的累加淨利變化，取最小值
週期-月-AverageNetIncome,週期-月,AverageNetIncome,月報酬率,%,不支援時間加權,$是平均單月損益；%是平均單月報酬率
週期-月-AverageNetIncome_Amount,週期-月,AverageNetIncome_Amount,月淨利,$,不支援時間加權,
週期-月-GrossProfit,週期-月,GrossProfit,毛利,%,不支援時間加權,每月獲利加總
週期-月-GrossProfit_Amount,週期-月,GrossProfit_Amount,毛利,$,不支援時間加權,每月獲利加總
週期-月-GrossLoss,週期-月,GrossLoss,毛損,%,不支援時間加權,每月虧損加總
週期-月-GrossLoss_Amount,週期-月,GrossLoss_Amount,毛損,$,不支援時間加權,每月虧損加總
週期-月-ProfitFactor,週期-月,ProfitFactor,獲利因子,,不支援時間加權,毛利/ABS(毛損)×SIGN(淨利)；ABS為絕對值；SIGN為數值的正負號
週期-月-TotalCount,週期-月,TotalCount,總交易月數,數,不支援時間加權,回測月數加總
週期-月-WinCount,週期-月,WinCount,獲利交易月數,數,不支援時間加權,獲利的月數加總
週期-月-LoseCount,週期-月,LoseCount,虧損交易月數,數,不支援時間加權,虧損的月數加總
週期-月-WinRate,週期-月,WinRate,月勝率,%,不支援時間加權,獲利交易月數/總交易月數
週期-月-AverageAmountChange,週期-月,AverageAmountChange,平均單月金額變動,%,不支援時間加權,平均單月金額變動。每月平均複利增長的百分比率
週期-月-AverageAmountChange_Amount,週期-月,AverageAmountChange_Amount,平均單月金額變動,$,不支援時間加權,平均單月金額變動。每月平均複利增長的百分比率
週期-月-AverageProfitChange,週期-月,AverageProfitChange,平均單月獲利金額變動,%,不支援時間加權,平均單月獲利金額變動。獲利月數中，平均複利增長的百分比率
週期-月-AverageProfitChange_Amount,週期-月,AverageProfitChange_Amount,平均單月獲利金額變動,$,不支援時間加權,平均單月獲利金額變動。獲利月數中，平均複利增長的百分比率
週期-月-AverageLossChange,週期-月,AverageLossChange,平均單月虧損金額變動,%,不支援時間加權,平均單月虧損金額變動。虧損月數中，平均複利增長的百分比率
週期-月-AverageLossChange_Amount,週期-月,AverageLossChange_Amount,平均單月虧損金額變動,$,不支援時間加權,平均單月虧損金額變動。虧損月數中，平均複利增長的百分比率
